Общее,Функционал ,Мас OS,Windows,Tablet (android),Mobile (Iphone),Mobile (android),,Мас OS,Windows,Tablet (android),Mobile (Iphone),Mobile (android),Mobile Android 2
,Ввод невалидных данных в поле ввода суммы транзакций,bug,ok,bug,ok,ok,,система не должна разрешать создавать транзакцию без выбора Категории,,позволяет ввод невалидных данных,,"Поле пропускает невалидный? ввод ""копеек"" (например .98; .09), но не зачисляет их к общему балансу",
,Проверка работоспособности функции выбора даты,bug,ok,ok/bug,ok/bug,bug,,календарь представлен на английском ,дата на английском языке,"календарь на англ, возможен ввод даты в будущем (в ТЗ об этом не сказано, но это не логично для сути данного приложения)","кадендарь, что всплыл отображается на английском",Календарь на английском языке,дата на английском языке
,Проверка работоспособности функции добавления комментрия,bug,bug,bug,bug,bug,,должны быть только буквы,поле принимает любые символы и цифры,принимает любые символы,поле принимает  все цифры и символы,можно ввести какие угодно символы,1. поле принимает любые символы и цифры 2. при открытии клавиатуры на телефоне окно добавления транзакций частично становится прозрачным
,"Проверка работоспособности кнопки ""Добавить""",bug,ok,ok,ok,ok,,должно выдавать ошибку при невведенных обязательных полях,,"""Трансакция""","Присутствует орфографическая ошибка в слове ""Транзакция"" в всплывающем окошке при успешном добавлении транзакции","Присутствует орфографическая ошибка в слове ""Транзакция"" в всплывающем окошке при успешном добавлении транзакции",
,"Проверка работоспособности кнопки ""Отмена""",ok,ok,ok,ok,ok,,,,,,,
,"Проверка работоспособности кнопки ""Х""",ok ,ok,-,-,-,,,,нет крестика,,,
,Проверка закрытия окна с помощью клика по серому фону,ok ,ok,ok,ok,ok,,,,,,,
,"Проверка закрытия окна с помощью клика на кнопку ""Esc""",ok ,ok,-,-,-,,,,,,,
,Проверка закрытия окна с помощью нажатия кнопки (<) или свайпа (для моб.версий),-,-,bug,bug,bug,,,,не происходит закрытия с помощью кнопки < или свайпа,"При свайпе в правую сторону экрана закрытие не происходит, вместо этого за открытой формой Транзакции с помощью свайпа происходит переход между тремя кнопками (Главная,Статистика,Курс валют)","Не предусмотрено ТЗ, не работает.                                                                                     Но свайпом вправо и влево можно перейти между главной страницей и страницей Статистики.",1.свайп не работает (с валютой и статистикой работает) 2. кнопка < закрывает сайт(с валютой и статистикой работает)
,Проверка работоспособности выбора категории из выпадающего списка в поле траназакции (расход),ok ,ok,bug,ok,ok,,,,приложение позволяет добавить транзакцию без выбора категории (обязательное значение по ТЗ),,,
,"Проверить, что список транзакций отображается в соответствии с ТЗ и макетом",bug,,bug,,,,"отображения списка транзакций не соответствует макету (год показан полностью, в балансе суммы без нулей/копеек)",,,,"1) Не зачисляет к общему балансу копейки                                                         2) В списке (таблице) транзакций в поле ""баланс"" копейки отображаются в виде одного знака после точки, НО только в том случае, если копеек 10 и больше",
Статистика,Отображение страницы «статистика» согласно ТЗ,bug,ok,ok,ok,ok,,"при отсутствии транзакций висит сообщение ""Трансакции отсутствуют"" - в слове опечатка/баг. Суммы представлены без нулей/копеек",,,,,
,"Проверка работоспособности кнопки «главная» (возвращающая на главную страницу). В мобильной версии значок ""домик""",ok,ok,ok,ok,ok,,,,,,,
,Проверка возможности выбора месяца в выпадающем списке «месяц»,ok,ok,ok,ok,ok,,,,,,,
,Проверка возможности выбора года в выпадающем списке «год»,ok,ok,ok,ok,ok,,,,"2020,2021,2022",,,
,Проверка отображения сумм доходов и расходов за выбранный период,ok,ok/bug,ok,ok/bug,ok/bug,,при выборе невалидного значения год/месяц пользователь видит какие-то значения,число в диграмме расходов не соответструет сумме расходов за выбраный период,,,,число в диграмме расходов не соответструет сумме расходов за выбраный период
,Проверка отображения распределения долей транзакций за выбранный период по категориям.,ok,ok?,ok,ok/bug,ok/bug,,в диаграмме отображается и доход тоже,число в диграмме расходов не соответструет сумме расходов за выбраный период,,,число в диграмме расходов не соответструет сумме расходов за выбраный период,число в диграмме расходов не соответструет сумме расходов за выбраный период
